year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,1,2013-08-29 22:00:00+00:00,South Carolina,SEC,27,North Carolina,ACC,10,ranked_matchup,6.0,,ESPNM
2013,1,2013-08-30 03:00:00+00:00,Hawai'i,Mountain West,13,USC,Pac-12,30,ranked_matchup,,24.0,CBSSN
2013,1,2013-08-31 16:00:00+00:00,Wisconsin,Big Ten,45,Massachusetts,Mid-American,0,ranked_matchup,23.0,,BTN
2013,1,2013-08-31 16:00:00+00:00,Ohio State,Big Ten,40,Buffalo,Mid-American,20,ranked_matchup,2.0,,ESPN2
2013,1,2013-08-31 16:21:00+00:00,Florida,SEC,24,Toledo,Mid-American,6,ranked_matchup,10.0,,ESGP
2013,1,2013-08-31 17:00:00+00:00,Texas A&M,SEC,52,Rice,Conference USA,31,ranked_matchup,7.0,,ESPNM
2013,1,2013-08-31 19:30:00+00:00,Michigan,Big Ten,59,Central Michigan,Mid-American,9,ranked_matchup,17.0,,BTN
2013,1,2013-08-31 19:30:00+00:00,Oklahoma State,Big 12,21,Mississippi State,SEC,3,ranked_matchup,13.0,,ESPN2
2013,1,2013-08-31 19:30:00+00:00,Notre Dame,FBS Independents,28,Temple,American Athletic,6,ranked_matchup,14.0,,NBC
2013,1,2013-08-31 20:00:00+00:00,Oregon,Pac-12,66,Nicholls,Southland,3,ranked_matchup,3.0,,FS1
2013,1,2013-08-31 21:30:00+00:00,Virginia Tech,ACC,10,Alabama,SEC,35,ranked_matchup,,1.0,ESPNM
2013,1,2013-08-31 22:00:00+00:00,Oregon State,Pac-12,46,Eastern Washington,Big Sky,49,ranked_matchup,25.0,,PAC12
2013,1,2013-08-31 23:00:00+00:00,Oklahoma,Big 12,34,UL Monroe,Sun Belt,0,ranked_matchup,16.0,,
2013,1,2013-09-01 00:00:00+00:00,Clemson,ACC,38,Georgia,SEC,35,"ranked_matchup,upset_victory",8.0,5.0,ABC
2013,1,2013-09-01 00:00:00+00:00,Texas,Big 12,56,New Mexico State,FBS Independents,7,ranked_matchup,15.0,,LHN
2013,1,2013-09-01 00:00:00+00:00,Nebraska,Big Ten,37,Wyoming,Mountain West,34,ranked_matchup,18.0,,BTN
2013,1,2013-09-01 01:00:00+00:00,TCU,Big 12,27,LSU,SEC,37,ranked_matchup,20.0,12.0,ESPNM
2013,1,2013-09-01 02:00:00+00:00,Washington,Pac-12,38,Boise State,Mountain West,6,ranked_matchup,,19.0,FS1
2013,1,2013-09-01 02:00:00+00:00,UCLA,Pac-12,58,Nevada,Mountain West,20,ranked_matchup,21.0,,PAC12
2013,1,2013-09-01 02:30:00+00:00,California,Pac-12,30,Northwestern,Big Ten,44,ranked_matchup,,22.0,ESPN2
2013,1,2013-09-01 19:30:00+00:00,Louisville,American Athletic,49,Ohio,Mid-American,7,ranked_matchup,9.0,,ESPNM
2013,1,2013-09-03 00:00:00+00:00,Pittsburgh,ACC,13,Florida State,ACC,41,ranked_matchup,,11.0,ESPNM
2013,2,2013-09-07 16:00:00+00:00,Wisconsin,Big Ten,48,Tennessee Tech,OVC,0,ranked_matchup,21.0,,BTN
2013,2,2013-09-07 16:00:00+00:00,UTSA,Conference USA,35,Oklahoma State,Big 12,56,ranked_matchup,,13.0,FS1
2013,2,2013-09-07 16:00:00+00:00,Miami,ACC,21,Florida,SEC,16,ranked_matchup,,12.0,ESPNM
2013,2,2013-09-07 16:00:00+00:00,Louisville,American Athletic,44,Eastern Kentucky,OVC,7,ranked_matchup,8.0,,ESPN3
2013,2,2013-09-07 16:00:00+00:00,TCU,Big 12,38,SE Louisiana,Southland,17,ranked_matchup,24.0,,
