year,week,team,conference,elo
2000,1,BYU,Mountain West,1572
2000,1,Florida State,ACC,1957
2000,1,Iowa,Big Ten,1349
2000,1,Kansas State,Big 12,1903
2000,1,New Mexico,Mountain West,1289
2000,1,Penn State,Big Ten,1712
2000,1,Texas Tech,Big 12,1503
2000,1,USC,Pac-10,1718
2000,2,Akron,Mid-American,1400
2000,2,Alabama,SEC,1684
2000,2,Arizona,Pac-10,1598
2000,2,Arizona State,Pac-10,1520
2000,2,Arkansas State,Big West,1174
2000,2,Army,Conference USA,1370
2000,2,Auburn,SEC,1613
2000,2,Ball State,Mid-American,1183
2000,2,Baylor,Big 12,1219
2000,2,Boise State,Big West,1573
2000,2,Boston College,Big East,1429
2000,2,Bowling Green,Mid-American,1345
2000,2,Buffalo,Mid-American,996
2000,2,BYU,Mountain West,1572
2000,2,Central Michigan,Mid-American,1190
2000,2,Cincinnati,Conference USA,1452
2000,2,Colorado,Big 12,1681
2000,2,Colorado State,Mountain West,1604
2000,2,Duke,ACC,1221
2000,2,East Carolina,Conference USA,1639
2000,2,Eastern Michigan,Mid-American,1323
2000,2,Florida,SEC,1717
2000,2,Florida State,ACC,1957
2000,2,Fresno State,Western Athletic,1522
2000,2,Georgia,SEC,1651
2000,2,Georgia Tech,ACC,1666
2000,2,Houston,Conference USA,1487
2000,2,Idaho,Big West,1330
2000,2,Illinois,Big Ten,1695
2000,2,Iowa,Big Ten,1349
2000,2,Iowa State,Big 12,1472
2000,2,Kansas,Big 12,1391
2000,2,Kansas State,Big 12,1985
2000,2,Kent State,Mid-American,1158
2000,2,Kentucky,SEC,1524
2000,2,Louisiana Tech,FBS Independents,1468
2000,2,Louisville,Conference USA,1548
2000,2,Memphis,Conference USA,1516
2000,2,Miami (OH),Mid-American,1552
2000,2,Michigan,Big Ten,1807
2000,2,Middle Tennessee,FBS Independents,1186
2000,2,Minnesota,Big Ten,1705
2000,2,Mississippi State,SEC,1667
2000,2,Navy,FBS Independents,1419
2000,2,NC State,ACC,1435
2000,2,Nebraska,Big 12,1963
2000,2,Nevada,Western Athletic,1236
2000,2,New Mexico,Mountain West,1275
2000,2,New Mexico State,Big West,1280
2000,2,North Carolina,ACC,1519
2000,2,Northern Illinois,Mid-American,1321
2000,2,North Texas,Big West,1154
2000,2,Northwestern,Big Ten,1385
2000,2,Notre Dame,FBS Independents,1639
2000,2,Ohio,Mid-American,1442
2000,2,Ohio State,Big Ten,1706
2000,2,Oklahoma,Big 12,1790
2000,2,Ole Miss,SEC,1686
2000,2,Oregon,Pac-10,1769
2000,2,Penn State,Big Ten,1650
2000,2,Pittsburgh,Big East,1477
2000,2,Purdue,Big Ten,1802
2000,2,Rice,Western Athletic,1425
2000,2,San Diego State,Mountain West,1557
2000,2,San José State,Western Athletic,1146
2000,2,SMU,Western Athletic,1428
2000,2,South Carolina,SEC,1451
2000,2,Southern Miss,Conference USA,1686
2000,2,Stanford,Pac-10,1624
2000,2,Syracuse,Big East,1689
2000,2,Temple,Big East,1292
2000,2,Tennessee,SEC,1833
2000,2,Texas A&M,Big 12,1599
2000,2,Texas Tech,Big 12,1540
2000,2,Toledo,Mid-American,1614
2000,2,Tulane,Conference USA,1312
2000,2,Tulsa,Western Athletic,1244
2000,2,UCF,FBS Independents,1464
2000,2,UCLA,Pac-10,1494
2000,2,UConn,FBS Independents,1457
2000,2,UL Monroe,FBS Independents,1140
2000,2,USC,Pac-10,1718
2000,2,Utah,Mountain West,1627
2000,2,Utah State,Big West,1314
2000,2,UTEP,Western Athletic,1241
2000,2,Vanderbilt,SEC,1399
2000,2,Virginia,ACC,1497
2000,2,Virginia Tech,Big East,1943
2000,2,Wake Forest,ACC,1551
2000,2,Washington,Pac-10,1640
2000,2,Washington State,Pac-10,1410
2000,2,Western Michigan,Mid-American,1492
2000,2,West Virginia,Big East,1630
2000,2,Wisconsin,Big Ten,1849
2000,2,Wyoming,Mountain West,1460
2000,3,Air Force,Mountain West,1606
2000,3,Akron,Mid-American,1367
2000,3,Alabama,SEC,1698
2000,3,Arizona,Pac-10,1586
2000,3,Arizona State,Pac-10,1520
2000,3,Arkansas State,Big West,1141
2000,3,Army,Conference USA,1265
2000,3,Auburn,SEC,1635
2000,3,Ball State,Mid-American,1183
2000,3,Baylor,Big 12,1219
2000,3,Boise State,Big West,1573
2000,3,Boston College,Big East,1534
2000,3,Bowling Green,Mid-American,1315
2000,3,Buffalo,Mid-American,826
2000,3,BYU,Mountain West,1561
2000,3,California,Pac-10,1482
2000,3,Central Michigan,Mid-American,1223
2000,3,Cincinnati,Conference USA,1456
2000,3,Clemson,ACC,1747
2000,3,Colorado,Big 12,1681
2000,3,Colorado State,Mountain West,1604
2000,3,Duke,ACC,1151
2000,3,East Carolina,Conference USA,1628
2000,3,Eastern Michigan,Mid-American,1305
2000,3,Florida,SEC,1812
2000,3,Florida State,ACC,1946
2000,3,Fresno State,Western Athletic,1521
2000,3,Georgia,SEC,1615
2000,3,Georgia Tech,ACC,1677
2000,3,Houston,Conference USA,1461
2000,3,Idaho,Big West,1330
2000,3,Illinois,Big Ten,1782
2000,3,Indiana,Big Ten,1395
2000,3,Iowa,Big Ten,1349
