year,team,conference,division,total_games,total_wins,total_losses,conference_games,conference_wins,conference_losses,home_games,home_wins,home_losses,away_games,away_wins,away_losses,expected_wins
2000,Auburn,SEC,West,13,9,4,9,6,3,7,7,0,4,2,2,
2000,UAB,Conference USA,,11,7,4,6,3,3,6,4,2,5,3,2,
2000,Arkansas,SEC,West,12,6,6,8,3,5,7,5,2,4,1,3,
2000,Arizona State,Pac-10,,12,6,6,8,3,5,6,3,3,5,3,2,
2000,Arizona,Pac-10,,11,5,6,8,3,5,6,2,4,5,3,2,
2000,San Diego State,Mountain West,,11,3,8,7,3,4,5,0,5,6,3,3,
2000,San José State,Western Athletic,,12,7,5,8,5,3,5,3,2,7,4,3,
2000,Stanford,Pac-10,,11,5,6,8,4,4,6,3,3,5,2,3,
2000,California,Pac-10,,11,3,8,8,2,6,5,2,3,6,1,5,
2000,UCLA,Pac-10,,12,6,6,8,3,5,7,5,2,4,1,3,
2000,USC,Pac-10,,12,5,7,8,2,6,8,3,5,4,2,2,
2000,Colorado State,Mountain West,,12,10,2,7,6,1,6,6,0,5,3,2,
2000,Colorado,Big 12,North,11,3,8,8,3,5,5,1,4,6,2,4,
2000,UConn,FBS Independents,,11,3,8,2,0,2,5,1,4,6,2,4,
2000,Florida State,ACC,,13,11,2,8,8,0,7,7,0,5,4,1,
2000,Florida,SEC,East,13,10,3,9,8,1,7,7,0,4,2,2,
2000,South Florida,FBS Independents,,11,7,4,2,1,1,6,6,0,5,1,4,
2000,Georgia Tech,ACC,,12,9,3,8,6,2,6,5,1,5,4,1,
2000,Georgia,SEC,East,12,8,4,8,5,3,6,5,1,5,2,3,
2000,Hawai'i,Western Athletic,,12,3,9,8,2,6,8,3,5,4,0,4,
2000,Iowa State,Big 12,North,12,9,3,8,5,3,6,4,2,5,4,1,
2000,Boise State,Big West,,12,10,2,5,5,0,5,5,0,6,4,2,
2000,Idaho,Big West,,11,5,6,5,3,2,4,3,1,7,2,5,
